"predictors","val_mae","val_rmse","val_rsq","train_rmse","train_rsquared","train_mae","val_rmse_orig","val_rsq_orig","val_mae_orig","train_rmse_orig","train_rsq_orig","train_mae_orig","aic","apc","fpe","hsp","msep","rmse","press","sbc_SAS","sbc_R","pred_rsq","rsq","adj_rsq","test_rmse","test_rsquared","test_mae","fstat","f_num_df","f_denom_df","predictor_count","best_per_metric","predictor_count_limited","max_allowed_predictors"
"Age  highway_MPG  city_mpg  Engine_Cylinders  Engine_HP  Transmission_Type  Number_of_Doors  Vehicle_Style  Vehicle_Size  Factory_Tuner  Luxury  Flex_Fuel  Hatchback  Hybrid  Diesel  Exotic  Popularity",0.132144537570735,0.177912654753938,0.938084820670681,0.181433248659378,0.923709193490684,0.135308337575659,23926.4804007146,0.884014055601989,9507.6129528723,22654.8138158734,0.848412176385806,9178.70046206827,-2301.28969912677,0.0769641257136152,0.0332901616131922,8.12764650251139e-06,135.460412118072,0.182056426520025,137.210022165086,-13753.1677524345,-2118.06740107791,0.922382737262313,0.923709193490684,0.923202963022325,0.189410610164748,0.923906154280667,0.141362003666512,1824.6811506339,27,4069,17,"train_mae_orig","No",0
"Engine_HP",0.206741736016242,0.291732808897261,0.83383945912726,0.300217238475545,0.791113821899635,0.213832719909543,40085.5100139831,0.6926748245436,15175.5048218853,36300.8439108695,0.619181337886556,14479.118351805,1773.36054205431,0.209090218323174,0.0902184297311453,2.20259916962662e-05,369.444557809998,0.300290542649138,369.901648566397,-9842.78577846968,1792.31457288695,0.790753233686251,0.791113821899635,0.791062811843933,0.302960622060083,0.805118629271349,0.213303040949455,15508.9778085865,1,4095,1,"val_mae  val_rmse  rmse  aic  apc  fpe  hsp  msep  sbc_SAS  sbc_R  press  pred_rsq  val_rsq  rsq  adj_rsq  train_rmse  train_mae  val_mae_orig  train_rmse_orig  train_rsq_orig  train_mae_orig","Yes",1
"Engine_Cylinders",0.322987006718075,0.409922139520995,0.674716686481194,0.426533637851242,0.578356872761231,0.331587202933705,37106.3909133515,0.749929226419887,18999.4734729847,36870.7671099638,0.609679271777909,18159.2996675241,4660.9695511198,0.422054988657317,0.182331281259682,4.45144888795257e-05,745.735118105832,0.426898486144866,747.519251036516,-6923.58671801646,4711.51363334017,0.577141689844104,0.578356872761231,0.577738325386309,0.417530437832373,0.634065020628847,0.324844320941493,935.024375188383,6,4090,1,"val_rmse_orig  val_rsq_orig","Yes",1
"Engine_HP  Exotic",0.184789967495868,0.244815350124334,0.883057395605259,0.256559721957088,0.84744887850103,0.193695072461093,30281.0325534931,0.814427881905984,12030.9434406366,27158.9005905125,0.783931776347638,11807.719544281,487.71548379839,0.152774694222222,0.0659193582842853,1.60936048393579e-05,269.874013634068,0.25665370561808,270.37818656669,-11122.1128264481,512.987524908578,0.847051881384897,0.84744887850103,0.847374354259946,0.259834524680554,0.857949548442864,0.193998638520226,11371.4526464712,2,4094,2,"val_mae  val_rmse  rmse  aic  apc  fpe  hsp  msep  sbc_SAS  sbc_R  press  pred_rsq  val_rsq  rsq  adj_rsq  train_rmse  val_rmse_orig  val_rsq_orig  val_mae_orig  train_rmse_orig  train_rsq_orig  train_mae_orig","Yes",2
"Engine_HP  Luxury",0.186712488278757,0.271337747718353,0.856388378106709,0.278565171388847,0.820157602006422,0.192153491420855,42171.9241153246,0.67789916989377,15219.7974516895,36420.3729341123,0.62946938201554,13931.9075636437,1162.00440552307,0.180105967702412,0.0777122799987007,1.89727381761054e-05,318.154263903136,0.278667216146427,318.771815446968,-10447.8239047234,1187.27644663326,0.819676468507903,0.820157602006421,0.82006974543681,0.285174909793332,0.826946741824721,0.195119455152592,9335.18808711107,2,4094,2,"train_mae","Yes",2
"Engine_HP  Luxury  Exotic",0.15544441420922,0.203213716906738,0.919596212539513,0.214211186245331,0.893653611807349,0.163012227443406,28388.3460226677,0.84063547110493,11488.8566759445,24762.7350178942,0.819669160412464,10703.9777638979,-988.474673036192,0.106554248223323,0.0459761199399229,1.12246520347697e-05,188.180460760581,0.214315832654234,188.692518325051,-12591.9849730051,-956.884621648457,0.893260007247501,0.893653611807349,0.893575664295847,0.224314934780888,0.893203995457612,0.169797438424064,11464.8125974319,3,4093,3,"val_mae  val_rmse  rmse  aic  apc  fpe  hsp  msep  sbc_SAS  sbc_R  press  pred_rsq  val_rsq  rsq  adj_rsq  train_rmse  train_mae  val_rmse_orig  val_rsq_orig  val_mae_orig  train_rmse_orig  train_rsq_orig  train_mae_orig","Yes",3
"Engine_HP  Transmission_Type  Luxury  Exotic",0.1478835118867,0.197532292778635,0.923841374162911,0.206581255316861,0.901094537865959,0.155075914816425,28483.5919124583,0.836222140964949,11259.2887420422,24359.7568592557,0.825127173442304,10404.8018000642,-1281.65922741826,0.0991471665869588,0.042790563023243,1.04469334766096e-05,175.056485413842,0.206732689366752,175.701242997863,-12872.5335068321,-1237.43315547543,0.900608940032853,0.901094537865959,0.900973656098501,0.21749474355255,0.899476889583479,0.163688784436482,7454.3461500917,5,4091,4,"val_mae  rmse  aic  apc  fpe  hsp  msep  sbc_SAS  sbc_R  press  pred_rsq  rsq  adj_rsq  train_rmse  train_mae","Yes",4
"Engine_Cylinders  Engine_HP  Luxury  Exotic",0.149537425521926,0.196662249333696,0.924223240210964,0.209227646405301,0.898544267289927,0.159842663493225,26019.5332314558,0.86302496455789,10277.8372716007,24479.8016328208,0.82403596034564,10298.641350166,-1169.35736528282,0.101703669495777,0.0439368743086073,1.07267951305725e-05,179.570304916444,0.209483457292389,180.793387696773,-12734.9596035864,-1099.8592522298,0.897728404582475,0.898544267289927,0.898320851191471,0.222774890383073,0.895595085785451,0.167237415880323,4021.84208523325,9,4087,4,"val_rmse  val_rsq  val_rmse_orig  val_rsq_orig  val_mae_orig  train_mae_orig","Yes",4
"Engine_HP  Factory_Tuner  Luxury  Exotic",0.153542119272274,0.200881854771758,0.921314357226212,0.211401228060645,0.896425352490796,0.160632998019266,27254.4773928938,0.852020773057145,11118.2233309386,24325.6333525332,0.826314541681494,10416.4961722939,-1094.67232488242,0.103827762483567,0.0447996934954063,1.09374447226785e-05,183.320651657908,0.211530343829148,183.886038056697,-12691.8646145738,-1056.76426321714,0.895978947423631,0.896425352490795,0.89632410650105,0.219445245338167,0.897733465210217,0.166681347467151,8853.93441012276,4,4092,4,"train_rmse_orig  train_rsq_orig","Yes",4
"Engine_Cylinders  Engine_HP  Transmission_Type  Luxury  Exotic",0.142348807405186,0.191326530263344,0.928302211852157,0.201561806329248,0.905842496374597,0.152003888148077,26497.8039012906,0.860793945076092,10199.6886159891,24116.5727794101,0.829868104829864,10011.2452950485,-1471.21325405528,0.0944336928318334,0.040806179864191,9.96247118982e-06,166.693642076876,0.201857640842163,167.970803337468,-13024.1794718038,-1389.07912044717,0.904981911895483,0.905842496374597,0.905588951077197,0.214886709778864,0.902613648080425,0.160036130437867,3572.7047816041,11,4085,5,"val_mae  val_rmse  rmse  aic  apc  fpe  hsp  msep  press  pred_rsq  val_rsq  rsq  adj_rsq  train_rmse  train_mae_orig","Yes",5
